"Año";"Periodo";"Mujeres asesinadas por violencia de género"
"2003";"Noviembre";"68"
"2004";"Noviembre";"64"
"2005";"Noviembre";"54"
"2006";"Noviembre";"63"
"2007";"Noviembre";"70"
"2008";"Noviembre";"65"
"2009";"Noviembre";"52"
"2010";"Noviembre";"66"
"2011";"Noviembre";"56"
"2012";"Noviembre";"48"
"2013";"Noviembre";"52"
"2014";"Noviembre";"50"
"2015";"Noviembre";"50"
"2016";"Noviembre";"44"
"2017";"Noviembre";"47"
"2018";"Noviembre";"49"
"2019";"Noviembre";"54"
"2020";"Noviembre";"41"
;;
;;
"Métrica":"Mujeres asesinadas por violencia de género"
"Fuente":"Ministerio de Sanidad, Servicios Sociales e Igualdad"
"Clasificación":""
"Unidad":"Mujeres asesinadas"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/mujeres-asesinadas-violencia-genero-va-ano/7820a811-618d-4109-97be-f1d2c31313a6/espana/106"
"Titulo":"Mujeres asesinadas por violencia de género en lo que va de año"
"Subtitulo":""
