"Año";"Periodo";"Muertos en accidentes"
"1990";"Enero";"404"
"1990";"Febrero";"381"
"1990";"Marzo";"458"
"1990";"Abril";"407"
"1990";"Mayo";"355"
"1990";"Junio";"463"
"1990";"Julio";"562"
"1990";"Agosto";"669"
"1990";"Septiembre";"529"
"1990";"Octubre";"493"
"1990";"Noviembre";"495"
"1990";"Diciembre";"520"
"1991";"Enero";"396"
"1991";"Febrero";"360"
"1991";"Marzo";"382"
"1991";"Abril";"363"
"1991";"Mayo";"476"
"1991";"Junio";"487"
"1991";"Julio";"570"
"1991";"Agosto";"706"
"1991";"Septiembre";"528"
"1991";"Octubre";"432"
"1991";"Noviembre";"455"
"1991";"Diciembre";"495"
"1992";"Enero";"370"
"1992";"Febrero";"388"
"1992";"Marzo";"403"
"1992";"Abril";"416"
"1992";"Mayo";"502"
"1992";"Junio";"362"
"1992";"Julio";"450"
"1992";"Agosto";"594"
"1992";"Septiembre";"406"
"1992";"Octubre";"393"
"1992";"Noviembre";"387"
"1992";"Diciembre";"435"
"1993";"Enero";"381"
"1993";"Febrero";"284"
"1993";"Marzo";"372"
"1993";"Abril";"389"
"1993";"Mayo";"355"
"1993";"Junio";"386"
"1993";"Julio";"483"
"1993";"Agosto";"489"
"1993";"Septiembre";"408"
"1993";"Octubre";"393"
"1993";"Noviembre";"305"
"1993";"Diciembre";"385"
"1994";"Enero";"356"
"1994";"Febrero";"237"
"1994";"Marzo";"312"
"1994";"Abril";"275"
"1994";"Mayo";"291"
"1994";"Junio";"294"
"1994";"Julio";"424"
"1994";"Agosto";"464"
"1994";"Septiembre";"355"
"1994";"Octubre";"313"
"1994";"Noviembre";"270"
"1994";"Diciembre";"368"
"1995";"Enero";"314"
"1995";"Febrero";"251"
"1995";"Marzo";"321"
"1995";"Abril";"357"
"1995";"Mayo";"310"
"1995";"Junio";"342"
"1995";"Julio";"455"
"1995";"Agosto";"423"
"1995";"Septiembre";"393"
"1995";"Octubre";"300"
"1995";"Noviembre";"310"
"1995";"Diciembre";"343"
"1996";"Enero";"238"
"1996";"Febrero";"289"
"1996";"Marzo";"274"
"1996";"Abril";"309"
"1996";"Mayo";"302"
"1996";"Junio";"363"
"1996";"Julio";"373"
"1996";"Agosto";"407"
"1996";"Septiembre";"357"
"1996";"Octubre";"346"
"1996";"Noviembre";"293"
"1996";"Diciembre";"354"
"1997";"Enero";"282"
"1997";"Febrero";"235"
"1997";"Marzo";"331"
"1997";"Abril";"296"
"1997";"Mayo";"316"
"1997";"Junio";"306"
"1997";"Julio";"411"
"1997";"Agosto";"475"
"1997";"Septiembre";"346"
"1997";"Octubre";"313"
"1997";"Noviembre";"303"
"1997";"Diciembre";"323"
"1998";"Enero";"278"
"1998";"Febrero";"280"
"1998";"Marzo";"327"
"1998";"Abril";"275"
"1998";"Mayo";"346"
"1998";"Junio";"376"
"1998";"Julio";"393"
"1998";"Agosto";"475"
"1998";"Septiembre";"376"
"1998";"Octubre";"382"
"1998";"Noviembre";"353"
"1998";"Diciembre";"376"
"1999";"Enero";"305"
"1999";"Febrero";"273"
"1999";"Marzo";"299"
"1999";"Abril";"320"
"1999";"Mayo";"341"
"1999";"Junio";"295"
"1999";"Julio";"421"
"1999";"Agosto";"423"
"1999";"Septiembre";"413"
"1999";"Octubre";"391"
